"External ID","Nome","Categoria","Costo","Prezzo di Vendita","Quantità in possesso","Quantità prevista","Riferimento interno","Sequenza","Tipo Prodotto","Unità di misura"
"__export__.product_template_2891_8eabc6e9","100uF, Capacitor, 25V, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-11-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2011_6982c86a","100uF, Capacitor, Electrolytic, Aluminium, 50V, EEEFK1H101P, Panasonic, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-11-4","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3074_a9203296","100uF, Capacitor, Molded, Tantalum, 10V, TP3C107K010D0900AS, VISHAY, SMD -$","__export__.product_category_3","0.0","1.0","0.0","0.0","P-4-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3288_395599a1","100uH, Inductor, Choke, 74476420, 40mA, WE, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","N-3-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3293_a2b5d287","100uH, Inductor, Choke, 74476620, 110mA, WE, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","N-3-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1987_de19ffa4","100uH, Inductor, Choke, Common Mode, 744841210, 1.5A, WE, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","N-3-1","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2878_7f45e94d","100uH, Power Inductor, 101 QU, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-9-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_838","100uH, Power Inductor, DO3316P-104MLB, CoilCraft, Irms1.3A, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-9-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_839","100uH, Power Inductor, DR0608-104L, CoilCraft, Irms:1.3A, Axial, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-9-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_840","100uH, Power Inductor, MSS1260-104MLB, CoilCraft, Irms:2.1A, Isat:2.16A, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-9-2","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3936_02fd5ad2","103094, BL MT FIRST1 CE 16 2 x 0 C3 T0 A P EU P0, Corob, Dispositivo per vernici","__export__.product_category_17","0.0","0.0","'-1.0","'-1.0","","1","Prodotto immagazzinabile","uom.product_uom_unit"
"__export__.product_template_1849_d1517ac1","10k 10000 ohm, Resistor, 1%, 0,25W, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2791_78c8067e","10K 10000ohm, Resistor, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","R-1-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1985_537b1d5f","10mH, Inductor, Choke, Common Mode, MCT18X10X10C-103NU, MULTICOMP, 2A, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_3068_2cea077b","10nF, Capacitor, 50V, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","P-2-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_909","10nF, Capacitor, C0805C103K1RACTU, KEMET, X7R, 100V, 0805, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2912_10bcda3a","10nF, Capacitor, Ceramic Disc, X7R, Radial, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-2-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_1999_63b83de0","10nF, Capacitor, Ceramic, Y5U, X1/Y2, 300V, 2kV, VY2103M63Y5UG63V7, Radial, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","Q-6-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_2913_d08e926a","10nF, Capacitor, Polyester, Radial, THD","__export__.product_category_3","0.0","1.0","0.0","0.0","S-2-5","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_912","10nF, Capacitor, X1/Y2, Murata, 5x5.7mm, 250V, 2kV, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_913","10nF, Capacitor, X7R, 25V, 0603, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
"__export__.product_template_906","10nF, Capacitor, Y5V, 50V, 0805, SMD","__export__.product_category_3","0.0","1.0","0.0","0.0","","1","Consumabile","uom.product_uom_unit"
